Annual Average for United States 2015-2019,,,,,,,,,
Alcohol-Attributable Deaths Due to Excessive Alcohol Use,,,,,,,,,
All Ages,,,,,,,,,
,,,,,,,,,
Harmful Effects Summary,,,,,,,,,
 ,Overall,Males,Females,,,,,,
"Unprovoked seizures, epilepsy, or seizure disorder",364,279,85,,,,,,
Other Chronic Causes Total,737,549,188,,,,,,
Chronic Causes Subtotal,"82,279","54,119","28,161",,,,,,
Acute Causes,Overall,Males,Females,,,,,,
Alcohol-Related Poisonings,,,,,,,,,
Alcohol poisoning,"2,346","1,761",586,,,,,,
Poisoning (not alcohol),"17,671","12,014","5,656",,,,,,
Alcohol-Related Poisonings Total,"20,017","13,775","6,242",,,,,,
Motor Vehicle Traffic Crashes,,,,,,,,,
Motor-vehicle traffic crashes¶,"12,650","9,590","3,059",,,,,,
Motor Vehicle Traffic Crashes Total,"12,650","9,590","3,059",,,,,,
Suicide,,,,,,,,,
Suicide,"11,013","8,581","2,432",,,,,,
Suicide by and exposure to alcohol,41,23,18,,,,,,
Suicide Total,"11,054","8,605","2,449",,,,,,
Other Acute Causes,,,,,,,,,
Air-space transport,71,61,11,,,,,,
Aspiration,304,171,134,,,,,,
Child maltreatment§,146,86,60,,,,,,
Drowning,"1,117",865,252,,,,,,
Fall injuries||,"2,267","1,590",677,,,,,,
Fire injuries,"1,124",676,448,,,,,,
Firearm injuries,131,110,22,,,,,,
Homicide,"8,462","6,829","1,633",,,,,,
Hypothermia,365,241,124,,,,,,
Motor-vehicle nontraffic crashes,183,136,47,,,,,,
Occupational and machine injuries,122,115,8,,,,,,
Other road vehicle crashes,183,145,38,,,,,,
Water transport,80,70,10,,,,,,
Other Acute Causes Total,"14,557","11,093","3,464",,,,,,
Acute Causes Subtotal,"58,277","43,063","15,214",,,,,,
,,,,,,,,,
Beneficial  Effects,,,,,,,,,
 ,Overall,Males,Females,,,,,,
Chronic Causes,,,,,,,,,
Gallbladder disease,-204,-121,-83,,,,,,
Subtotal,-204,-121,-83,,,,,,
Acute Causes,,,,,,,,,
Subtotal,0,0,0,,,,,,
Total for All Causes,-204,-121,-83,,,,,,
,,,,,,,,,
,,,,,,,,,
"x Cancer, breast and prostate: Sex-specific condition. Data only pertain to one sex. ",,,,,,,,,
"* Cancer, esophageal: Deaths calculated for the proportion of esophageal cancer deaths due to squamous cell carcinoma  only, based on the Surveillance, Epidemiology, and End Results data in 18 states (SEER18).",,,,,,,,,
"† Cancer, pancreatic and stomach: Deaths among people consuming high levels of alcohol only.",,,,,,,,,
‡ Pneumonia: Deaths among adults aged 20 to 64 years.,,,,,,,,,
§ Child maltreatment: Deaths among children aged 0 to 14 years.,,,,,,,,,
|| Fall injuries: Deaths among people aged 15 to 69 years.,,,,,,,,,
¶ Motor vehicle traffic crashes: Deaths among people of all ages. A blood alcohol concentration level of 0.08 g/dL or greater is used for defining alcohol attribution for this condition.,,,,,,,,,
"** Infant deaths (low birth weight, pre-term birth and small for gestational age): Alcohol consumption prevalence estimates calculated among women aged 18 to 44 years only.",,,,,,,,,
